,x,y,z,w,ra,dec,redshift,dist
44734,129.63,161.72,-79.22,37.419,138.1427,46.0029,,221.88535
44735,92.35,111.13,-50.98,38.079,138.2724,47.765,,153.22324
44736,71.15,88.54,-42.35,38.159,138.4632,46.4211,,121.22366
44737,79.74,112.74,-63.78,35.509,138.4982,41.0039,,152.1074
44738,8.74,111.57,-127.57,36.859,138.5048,7.0506,,169.70079
44739,141.95,204.21,-117.49,38.079,138.546,40.3535,,275.05533
44740,108.91,156.4,-89.62,37.509,138.5824,40.461,,210.60411
44741,118.42,177.16,-106.0,36.869,138.5916,38.8609,,238.00201
44742,116.03,168.44,-97.37,37.419,138.6371,40.0847,,226.53015
44743,13.72,157.0,-177.17,38.009,138.6442,7.5557,,237.12117
44744,13.72,159.21,-179.74,38.089,138.6565,7.5076,,240.50475
44745,113.86,158.16,-86.65,37.709,138.6957,41.9206,,213.2766
44746,12.67,151.62,-171.2,37.799,138.7029,7.4193,,229.0384
44747,3.84,111.8,-131.24,37.789,138.7071,5.2295,,172.44687
44748,3.41,111.57,-131.09,38.659,138.7569,5.0934,,172.17456
44749,111.39,161.22,-92.18,37.439,138.7745,40.3376,,216.55663
44750,12.26,159.57,-180.55,36.489,138.7833,7.1665,,241.26996
44751,144.2,205.59,-115.15,36.849,138.84,41.0059,,276.26147
44752,10.88,154.21,-174.48,37.899,138.9056,6.9621,,233.1145
44753,8.39,110.9,-124.76,38.209,138.9447,7.2218,,167.13545
44754,90.53,111.04,-50.3,37.059,138.9578,47.5404,,151.84088
44755,12.09,159.99,-179.7,35.939,138.9846,7.2417,,240.90466
44756,103.2,155.27,-90.7,37.559,139.1307,39.1733,,207.32945
44757,119.35,172.42,-96.13,37.669,139.1838,40.8108,,230.68172
44758,2.35,38.94,-43.81,38.039,139.2415,6.715,,58.66142
44759,118.14,173.15,-97.48,37.439,139.2927,40.3505,,231.17165
44760,9.01,162.96,-183.57,36.989,139.3047,6.5309,,245.63202
44761,8.45,178.45,-202.07,37.529,139.3298,6.1918,,269.71854
44762,18.28,158.19,-168.78,37.669,139.4211,9.3968,,232.04509
44763,8.13,123.98,-137.53,35.499,139.4774,7.1083,,185.34195
44764,12.92,182.49,-201.53,36.919,139.4811,7.35,,272.18353
44765,13.45,182.85,-201.25,37.459,139.5083,7.4943,,272.24362
44766,94.48,137.73,-76.13,37.199,139.5132,40.7761,,183.55327
44767,76.58,111.18,-60.77,37.469,139.6253,41.0476,,148.04892
44768,8.25,163.15,-181.61,36.819,139.6832,6.5561,,244.2707
44769,9.88,153.44,-168.85,38.419,139.6914,7.1932,,228.36761
44770,8.89,162.98,-180.56,36.049,139.7208,6.7613,,243.39972
44771,2.38,147.73,-168.66,36.559,139.7286,5.0487,,224.22313
44772,9.57,180.31,-198.97,37.469,139.8453,6.7733,,268.68634
44773,3.25,118.81,-133.7,36.979,139.866,5.6296,,178.89122
44774,2.7,148.62,-168.11,36.829,139.9171,5.2503,,224.4018
44775,4.61,176.84,-198.6,38.119,139.9411,5.6163,,265.96164
44776,21.02,188.74,-197.7,37.549,139.9442,9.5591,,274.13486
44777,3.56,119.86,-134.17,37.929,139.9502,5.7842,,179.94633
44778,8.88,155.51,-170.22,38.109,139.9635,7.0312,,230.73158
44779,9.08,159.5,-174.58,38.879,139.9672,7.0266,,236.64503
44780,7.97,137.41,-150.02,37.289,140.0082,7.1025,,203.59526
44781,6.95,151.41,-166.8,37.489,140.0262,6.5621,,225.37863
44782,125.19,153.04,-64.29,37.189,140.0361,48.6664,,207.911
44783,135.89,206.81,-116.1,37.399,140.0574,39.6361,,273.34167
44784,138.66,210.51,-117.72,37.669,140.0826,39.7506,,278.20685
44785,7.38,147.59,-161.61,37.419,140.0934,6.7894,,218.98645
44786,133.67,169.13,-74.89,38.669,140.0959,47.2007,,228.21292
44787,14.02,186.58,-200.08,34.952,140.1041,7.9558,,273.93552
44788,3.33,160.76,-180.08,36.399,140.1069,5.4765,,241.42012
44789,110.65,165.14,-90.48,37.549,140.1225,40.4439,,218.4062
