ra,dec,dist,sigma_dist,d_dist
4.789,-24.523,94.81087,0.973708734684043,0.17193102143887493
4.8368,-10.9442,67.106606,0.819186218145789,-0.819186218145789
4.8609,16.8661,50.74529,0.7123572839523717,0.06446105506587571
4.8963,47.2411,48.519608,0.6965601768691633,0.15897476600810956
4.8624,13.161,48.806313,0.6986151515677284,0.6986151515677284
4.9449,18.3598,48.80086,0.6985761232678942,0.6985761232678942
4.9531,23.7726,54.59662,0.7388952564470826,-0.6304574643229274
4.9471,9.1669,50.779964,0.7126006174569315,-0.20478956088679146
4.9986,20.0049,74.36621,0.8623584521531635,-0.8623584521531635
5.0004,-6.3337,33.55363,0.579254952503645,-0.3421699633169893
5.0118,-4.0517,114.82848,1.0715805149404314,0.3381961722651138
5.0213,10.8792,7.89109,0.2809108399474823,0.2809108399474823
4.9894,15.0921,72.32419,0.8504362997897021,-0.62003936120715
4.9932,19.4024,49.42515,0.7030302269461819,-0.45988472021689997
5.0259,-54.5231,87.25598,0.9341090942711135,-0.9341090942711135
5.0838,7.7003,53.57426,0.7319443967952757,-0.11906240909239069
5.0962,59.2931,4.760809,0.21819278173211873,-0.21819278173211873
5.1426,47.4342,48.605423,0.6971758960262467,-0.3691124071655654
5.1753,-23.2829,73.327126,0.8563125947923457,-0.7508669282243229
5.2077,6.8075,159.04587,1.2611338945567994,-0.11887770215539878
5.2157,21.5366,53.69856,0.732793013067128,-0.732793013067128
5.2618,22.5664,54.776863,0.7401139304188241,-0.7401139304188241
5.2497,7.6221,113.783134,1.0666917736628514,1.0666917736628514
5.277,26.5133,112.34796,1.0599432060256813,-1.0599432060256813
5.2953,22.3573,52.450035,0.7242239639779949,-0.7242239639779949
5.3238,29.858,65.05699,0.8065791343693439,0.8065791343693439
5.3229,23.0909,53.857468,0.7338764746195371,0.7338764746195371
5.3436,22.4336,54.248295,0.7365344187476917,-0.7365344187476917
5.3343,17.3409,49.22934,0.7016362305354535,-0.25837680993936685
5.3565,22.5117,53.910378,0.7342368691369292,0.25078267835889867
5.3911,3.594,105.33858,1.0263458481428178,1.0263458481428178
5.3707,22.5058,53.08413,0.7285885670253137,-0.7190127846308172
5.3897,22.592,62.617004,0.791309067305563,-0.19409058350316843
5.3796,29.6621,66.87278,0.817757788101098,0.6356738568081208
5.4631,-9.4922,59.0094,0.7681757611380354,0.3339767601703906
5.4799,22.0064,54.825794,0.7404444206015737,-0.27852266421773514
5.5212,23.737,41.398045,0.6434131254489608,-0.0861034518561114
5.5052,49.1334,48.39366,0.6956555181984831,-0.6956555181984831
5.5425,-4.3464,39.936367,0.631952268767191,-0.1505144378655658
5.5632,20.6078,53.607838,0.7321737362129292,-0.19504192384024102
5.5563,10.4916,50.123863,0.7079820831066278,0.16437212209223254
5.6101,29.5039,64.95624,0.805954341138504,-0.4475683827595579
5.641,-8.4864,56.648026,0.7526488291361384,0.3549029168861835
5.6905,29.9397,88.13481,0.9388014167011041,0.9388014167011041
5.7078,6.8174,71.57818,0.8460388879951086,0.13149925554245637
